"Status","Name","Duration in ms","Description"
"passed","scripts..Users.Yoson.Desktop.奥莱商城.scripts.test_vip.TestVip.test_vip[args1]","24896",""
"passed","scripts..Users.Yoson.Desktop.奥莱商城.scripts.test_vip.TestVip.test_vip[args0]","14964",""
